Id da notícia|Título da notícia|Link da notícia|Resumo referência
01|O que é a parentalidade positiva, corrente que defende a criação 'firme e gentil' das crianças|https://www.bbc.com/portuguese/geral-50214771|Educadores listam estratégias para educar filhos com base no afeto, sem cair no autoritarismo nem na permissividade e com base em evidências sobre o cérebro humano.
02|As seis mudanças urgentes para conter a emergência climática, segundo 11 mil cientistas|https://www.bbc.com/portuguese/geral-50321928|Um estudo global elaborado por cerca de 11 mil cientistas confirmou as pesquisas que apontam que o mundo está diante de uma emergência climática.
03|Como a tumba de Tutancâmon enfeitiçou o mundo influenciando a moda após 3 mil anos|https://www.bbc.com/portuguese/revista-50270467|Quando a tumba do rei Tutancâmon foi aberta em novembro de 1922, o mundo sucumbiu sob seu feitiço. Para os arqueólogos de hoje, a explicação para esse culto está na riqueza excepcional da descoberta, especialmente porque muitos dos túmulos encontrados anteriormente tinham sido saqueados, e também na mística em torno das mortes prematuras do menino rei e do lorde Carnarvon, que financiou a expedição.
04|Sarampo faz corpo 'esquecer' como combater infecções, dizem cientistas|https://www.bbc.com/portuguese/geral-50258441|O sarampo tem um impacto devastador no sistema imunológico que pode debilitar por anos a capacidade do corpo de combater infecções, segundo demonstraram recentes publicações de estudos científicos.
05|Os ratos que dissecam sapos venenosos 'com precisão cirúrgica' para devorar seu coração|https://www.bbc.com/portuguese/geral-50214421|Um tipo de rato aquático consegue evitar a toxina mortal de uma espécie de anfíbio venenoso através de uma técnica muito precisa. Os cientistas afirmam que é o único mamífero capaz de matar o sapo-cururu.
06|O que aconteceria no mundo se o GPS parasse de funcionar|https://www.bbc.com/portuguese/geral-50388799|Apesar de dependermos do sistema, não há plano universal para lidar com possíveis interferências no GPS.
07|Empregadas à venda: os apps usados em mercado online de escravos|https://www.bbc.com/portuguese/internacional-50258032|Uma investigação da BBC News em árabe revela como mulheres estão sendo comprados e vendidos pela internet no Oriente Médio em um mercado em expansão que envolve programas hospedados nas lojas do Google e da Apple e conteúdo publicado no Instagram.
08|A batalha para manter a internet grátis e aberta a todos|https://www.bbc.com/portuguese/vert-fut-50226471|Conectar o mundo é algo visto como uma missão humanitária para alguns, mas garantir uma rede acessível a qualquer pessoa é um desafio mais difícil de resolver.
09|O incrível lago artificial para surfistas que pode produzir até mil ondas por hora|https://www.bbc.com/portuguese/curiosidades-50216011|Dez anos depois de ser idealizado, um gigantesco lago artificial capaz de produzir ondas iguais às do mar foi inaugurado nesta semana em Bristol, no Reino Unido.
10|Como a invenção do laser gerou um conflito que durou 30 anos|https://www.bbc.com/portuguese/internacional-49943082|No caso do laser, tudo começou com uma sugestão de Albert Einstein em uma pesquisa de 1917, quando o cientista criou as bases para produzir o raio de luz. Mas quem é o inventor de algo: o autor da ideia inicial, quem recebe a patente ou quem acaba transformando essa ideia em realidade?
